"","priority","Indicator","coeff"
"42",102,"Out-of-pocket health expenditure (% of total expenditure on health)",0.108695793
"43",102,"Trading.Across.Borders.Documents.to.import",0.098267878
"44",102,"Military expenditure (% of GDP)",0.079235922
"45",102,"PM10, country level (micrograms per cubic meter)",0.067514758
"46",102,"Consumer price index (2005 = 100)",0.05015828
"47",102,"Primary completion rate, total (% of relevant age group)",0.037697701
"48",102,"Disaster risk reduction progress score (1-5 scale; 5=best)",0.033231552
"49",102,"Prevalence of HIV, total (% of population ages 15-49)",0.033209409
"50",102,"Prevalence of HIV, female (% ages 15-24)",0.032360873
"51",102,"Ratio of female to male labor force participation rate (%)",-0.169239829
"52",102,"Average precipitation in depth (mm per year)",-0.133058541
"53",102,"Labor force participation rate, total (% of total population ages 15-24)",-0.089851144
"54",102,"Terrestrial and marine protected areas (% of total territorial area)",-0.066656146
"55",102,"Fixed broadband Internet subscribers (per 100 people)",-0.056085552
"56",102,"ICT goods imports (% total goods imports)",-0.053766042
"57",102,"GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)",-0.049467995
"58",102,"Getting.Electricity.Time",-0.046329566
"59",102,"Employment to population ratio, ages 15-24, total (%)",-0.042884902
"60",102,"GDP per capita (current US$)",-0.041598898
"61",103,"GDP per capita (current US$)",0.145527992
"62",103,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.115670132
"63",103,"Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)",0.093153327
"64",103,"Employment to population ratio, ages 15-24, total (%)",0.087471407
"65",103,"Health expenditure, total (% of GDP)",0.079407807
"66",103,"Market capitalization of listed companies (% of GDP)",0.066949073
"67",103,"Secure Internet servers (per 1 million people)",0.058674685
"68",103,"Protecting.Investors.Ease.of.shareholder.suits.index",0.054460449
"69",103,"Labor force participation rate, total (% of total population ages 15-24)",0.051450683
"70",103,"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.045051229
"71",103,"Out-of-pocket health expenditure (% of private expenditure on health)",-0.16142064
"72",103,"Population ages 15-64 (% of total)",-0.135682778
"73",103,"Primary completion rate, female (% of relevant age group)",-0.069595822
"74",103,"Manufacturing, value added (% of GDP)",-0.06707745
"75",103,"Primary completion rate, total (% of relevant age group)",-0.066738445
"76",103,"GDP per capita growth (annual %)",-0.059428785
"77",103,"Fuel exports (% of merchandise exports)",-0.057439469
"78",103,"Out-of-pocket health expenditure (% of total expenditure on health)",-0.046528562
"79",103,"Interest payments on external debt (% of exports of goods, services and primary income)",-0.045710452
"80",103,"Industry, value added (% of GDP)",-0.041000928
"81",104,"CPIA macroeconomic management rating (1=low to 6=high)",0.083769386
"82",104,"Ratio of female to male labor force participation rate (%)",0.082312709
"83",104,"Health expenditure, private (% of GDP)",0.063114426
"84",104,"CPIA structural policies cluster average (1=low to 6=high)",0.062791275
"85",104,"Getting.Electricity.Time",0.047131185
"86",104,"Bank nonperforming loans to total gross loans (%)",0.043488095
"87",104,"Prevalence of anemia among children (% of children under 5)",0.043467046
"88",104,"StartingBusiness.Procedures..number.",0.039299078
"89",104,"Getting.Electricity.Procedures",0.034099006
"90",104,"Present value of external debt (% of GNI)",0.02797151
"91",104,"Secure Internet servers (per 1 million people)",-0.134019259
"92",104,"GDP per capita (current US$)",-0.08035138
"93",104,"Telephone lines (per 100 people)",-0.07655825
"94",104,"Health expenditure per capita, PPP (constant 2005 international $)",-0.074943569
"95",104,"Paying.Taxes.Total.tax.rate",-0.06957561
"96",104,"Alternative and nuclear energy (% of total energy use)",-0.0426748
"97",104,"Paying.Taxes.Other.taxes",-0.040645483
"98",104,"Getting.Credit.Private.bureau.coverage",-0.040129713
"99",104,"Energy use (kg of oil equivalent per capita)",-0.037587953
"100",104,"Road sector energy consumption (% of total energy consumption)",-0.037510063
"101",105,"Resolving.Insolvency.Rank",0.073578799
"102",105,"StartingBusiness.Time",0.058852519
"103",105,"Intentional homicides (per 100,000 people)",0.055705844
"104",105,"Foreign direct investment, net inflows (% of GDP)",0.051762984
"105",105,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.050038609
"106",105,"StartingBusiness.Procedures..number.",0.04263488
"107",105,"Taxes on income, profits and capital gains (% of revenue)",0.032591974
"108",105,"Taxes on international trade (% of revenue)",0.03089019
"109",105,"CPIA macroeconomic management rating (1=low to 6=high)",0.027783957
"110",105,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0.022068354
"111",105,"Agriculture value added per worker (constant 2005 US$)",-0.110589487
"112",105,"New business density (new registrations per 1,000 people ages 15-64)",-0.064204748
"113",105,"Wage and salaried workers, female (% of females employed)",-0.06118735
"114",105,"Resolving.Insolvency.Recovery.rate",-0.04368592
"115",105,"Telephone lines (per 100 people)",-0.033315246
"116",105,"Paying.Taxes.Profit.tax",-0.024707409
"117",105,"Out-of-pocket health expenditure (% of private expenditure on health)",-0.022395491
"118",105,"Getting.Credit.Strength.of.legal.rights.index",-0.020999817
"119",105,"Deposit interest rate (%)",-0.020428136
"120",105,"Population ages 15-64 (% of total)",-0.014108777
"121",106,"Interest payments on external debt (% of exports of goods, services and primary income)",0.170107201
"122",106,"Getting.Credit.Public.registry.coverage",0.094764207
"123",106,"Automated teller machines (ATMs) (per 100,000 adults)",0.093128084
"124",106,"Deposit interest rate (%)",0.0495381
"125",106,"Depositors with commercial banks (per 1,000 adults)",0.04004888
"126",106,"Out-of-pocket health expenditure (% of private expenditure on health)",0.031968525
"127",106,"Mobile cellular subscriptions (per 100 people)",0.031812578
"128",106,"Getting.Electricity.Time",0.030148292
"129",106,"Bank nonperforming loans to total gross loans (%)",0.025005025
"130",106,"Manufacturing, value added (% of GDP)",0.021290057
"131",106,"Resolving.Insolvency.Cost",-0.045680713
"132",106,"StartingBusiness.Cost",-0.043132201
"133",106,"Foreign direct investment, net inflows (% of GDP)",-0.033092178
"134",106,"Population ages 0-14 (% of total)",-0.025764779
"135",106,"Getting.Electricity.Cost",-0.025718487
"136",106,"Employment to population ratio, 15+, total (%)",-0.012624438
"137",106,"GDP per capita growth (annual %)",-0.003837648
"138",106,"Livestock production index (2004-2006 = 100)",-0.002989482
"139",106,"Fertilizer consumption (% of fertilizer production)",0
"140",106,"Fertilizer consumption (kilograms per hectare of arable land)",0
"141",107,"Consumer price index (2005 = 100)",0.118148889
"142",107,"Net barter terms of trade index (2000 = 100)",0.113116386
"143",107,"Registering.Property.Cost",0.095346363
"144",107,"Livestock production index (2004-2006 = 100)",0.088269236
"145",107,"Disaster risk reduction progress score (1-5 scale; 5=best)",0.079910252
"146",107,"Food production index (2004-2006 = 100)",0.072237903
"147",107,"Out-of-pocket health expenditure (% of private expenditure on health)",0.060583999
"148",107,"GDP growth (annual %)",0.05521135
"149",107,"Permanent cropland (% of land area)",0.053150916
"150",107,"Registering.Property.Time",0.047983137
"151",107,"Commercial bank branches (per 100,000 adults)",-0.14262833
"152",107,"StartingBusiness.Procedures..number.",-0.11920898
"153",107,"Fixed broadband Internet subscribers (per 100 people)",-0.095749262
"154",107,"Internet users (per 100 people)",-0.071863562
"155",107,"Intentional homicides (per 100,000 people)",-0.068075847
"156",107,"Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)",-0.063066344
"157",107,"Telephone lines (per 100 people)",-0.060379711
"158",107,"Health expenditure, total (% of GDP)",-0.058132891
"159",107,"Employment in agriculture (% of total employment)",-0.052542692
"160",107,"Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)",-0.042495677
"161",108,"Registering.Property.Cost",0.237414324
"162",108,"Food production index (2004-2006 = 100)",0.103926759
"163",108,"GDP per capita growth (annual %)",0.095792503
"164",108,"Trading.Across.Borders.Time.to.export",0.08529019
"165",108,"Trading.Across.Borders.Documents.to.export",0.080089658
"166",108,"Dealing.with.Construction.Permits.Cost",0.06866955
"167",108,"Prevalence of HIV, total (% of population ages 15-49)",0.051041483
"168",108,"Trading.Across.Borders.Cost.to.import",0.047116475
"169",108,"Total debt service (% of GNI)",0.045236193
"170",108,"Public spending on education, total (% of GDP)",0.038471059
"171",108,"Ratio of female to male labor force participation rate (%)",-0.098646166
"172",108,"Intentional homicides (per 100,000 people)",-0.096923205
"173",108,"StartingBusiness.Time",-0.088451337
"174",108,"Average precipitation in depth (mm per year)",-0.078617333
"175",108,"Getting.Credit.Depth.of.credit.information.index",-0.077557905
"176",108,"Commercial bank branches (per 100,000 adults)",-0.075126513
"177",108,"Getting.Credit.Public.registry.coverage",-0.071855961
"178",108,"International tourism, receipts (% of total exports)",-0.065691595
"179",108,"Labor force participation rate, total (% of total population ages 15-24)",-0.054833488
"180",108,"GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)",-0.054540899
"181",109,"Labor force participation rate, male (% of male population ages 15-64)",0.125869635
"182",109,"Paying.Taxes.Rank",0.113876806
"183",109,"Protecting.Investors.Ease.of.shareholder.suits.index",0.104122079
"184",109,"Labor force participation rate, total (% of total population ages 15-24)",0.091114986
"185",109,"Hospital beds (per 1,000 people)",0.085860595
"186",109,"Proportion of seats held by women in national parliaments (%)",0.078674674
"187",109,"Foreign direct investment, net outflows (% of GDP)",0.075777329
"188",109,"Resolving.Insolvency.Cost",0.073537555
"189",109,"Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)",0.066598184
"190",109,"Paying.Taxes.Payments",0.066127801
"191",109,"Trading.Across.Borders.Documents.to.export",-0.16148159
"192",109,"StartingBusiness.Min..Capital",-0.139383181
"193",109,"Getting.Electricity.Time",-0.135451749
"194",109,"Employment in agriculture (% of total employment)",-0.134332833
"195",109,"Net domestic credit (current LCU)",-0.092551296
"196",109,"Inflation, GDP deflator (annual %)",-0.091055255
"197",109,"Military expenditure (% of GDP)",-0.07957432
"198",109,"GDP per capita growth (annual %)",-0.070775231
"199",109,"Dealing.with.Construction.Permits.Procedures",-0.069949055
"200",109,"Primary completion rate, female (% of relevant age group)",-0.066443879
"201",110,"Average precipitation in depth (mm per year)",0.141382241
"202",110,"Bird species, threatened",0.122068608
"203",110,"Population ages 65 and above (% of total)",0.118147327
"204",110,"Fixed broadband Internet subscribers (per 100 people)",0.088870884
"205",110,"Employment to population ratio, ages 15-24, total (%)",0.085568492
"206",110,"Life expectancy at birth, total (years)",0.085079473
"207",110,"Permanent cropland (% of land area)",0.083876149
"208",110,"Crop production index (2004-2006 = 100)",0.080462012
"209",110,"Self-employed, total (% of total employed)",0.062249433
"210",110,"Getting.Credit.Private.bureau.coverage",0.061187851
"211",110,"Prevalence of HIV, total (% of population ages 15-49)",-0.082734214
"212",110,"Protecting.Investors.Extent.of.director.liability.index",-0.076740014
"213",110,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",-0.07491777
"214",110,"Health expenditure, private (% of GDP)",-0.068139935
"215",110,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",-0.064023609
"216",110,"Registering.Property.Cost",-0.059113819
"217",110,"Prevalence of anemia among children (% of children under 5)",-0.056764465
"218",110,"Mortality rate, under-5 (per 1,000 live births)",-0.056673095
"219",110,"Trading.Across.Borders.Cost.to.import",-0.045272865
"220",110,"Interest payments (% of expense)",-0.044663826
"221",111,"Intentional homicides (per 100,000 people)",0.197098683
"222",111,"Fuel exports (% of merchandise exports)",0.118597244
"223",111,"Protecting.Investors.Ease.of.shareholder.suits.index",0.113822389
"224",111,"Access to electricity (% of population)",0.11116633
"225",111,"Lending interest rate (%)",0.107466773
"226",111,"Services, etc., value added (% of GDP)",0.087725166
"227",111,"Roads, paved (% of total roads)",0.086189873
"228",111,"Mobile cellular subscriptions (per 100 people)",0.085175464
"229",111,"Food imports (% of merchandise imports)",0.07950893
"230",111,"Manufacturing, value added (% of GDP)",0.073162392
"231",111,"StartingBusiness.Min..Capital",-0.095607515
"232",111,"Electricity production from renewable sources, excluding hydroelectric (% of total)",-0.093366382
"233",111,"Alternative and nuclear energy (% of total energy use)",-0.079319048
"234",111,"Protecting.Investors.Extent.of.disclosure.index",-0.07192308
"235",111,"Registering.Property.Cost",-0.067949044
"236",111,"Dealing.with.Construction.Permits.Cost",-0.055157011
"237",111,"Prevalence of undernourishment (% of population)",-0.052520102
"238",111,"GDP per unit of energy use (PPP $ per kg of oil equivalent)",-0.0485591
"239",111,"Hospital beds (per 1,000 people)",-0.048383996
"240",111,"Fish species, threatened",-0.048367659
"241",112,"Stocks traded, turnover ratio (%)",0.11242822
"242",112,"Getting.Electricity.Cost",0.092441326
"243",112,"Inflation, GDP deflator (annual %)",0.076055796
"244",112,"Improved sanitation facilities (% of population with access)",0.072595603
"245",112,"Secure Internet servers (per 1 million people)",0.071649715
"246",112,"Population ages 65 and above (% of total)",0.068377407
"247",112,"Deposit interest rate (%)",0.066445986
"248",112,"GDP per capita (current US$)",0.062728165
"249",112,"Agriculture, value added (% of GDP)",0.061681236
"250",112,"Paying.Taxes.Total.tax.rate",0.05339795
"251",112,"Average precipitation in depth (mm per year)",-0.169226897
"252",112,"Protecting.Investors.Ease.of.shareholder.suits.index",-0.149246972
"253",112,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",-0.121241465
"254",112,"Intentional homicides (per 100,000 people)",-0.120502801
"255",112,"Permanent cropland (% of land area)",-0.096227772
"256",112,"Resolving.Insolvency.Rank",-0.062336339
"257",112,"Lending interest rate (%)",-0.05694156
"258",112,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)",-0.054183982
"259",112,"Expenditure per student, secondary (% of GDP per capita)",-0.051494698
"260",112,"Fuel imports (% of merchandise imports)",-0.051364564
"261",113,"Prevalence of undernourishment (% of population)",0.097355334
"262",113,"Fixed broadband Internet subscribers (per 100 people)",0.086752822
"263",113,"Telephone lines (per 100 people)",0.080843275
"264",113,"Fuel exports (% of merchandise exports)",0.077807153
"265",113,"GDP per unit of energy use (PPP $ per kg of oil equivalent)",0.077224158
"266",113,"Secure Internet servers (per 1 million people)",0.07181766
"267",113,"Health expenditure per capita, PPP (constant 2005 international $)",0.069628319
"268",113,"CPIA building human resources rating (1=low to 6=high)",0.069605507
"269",113,"Population ages 65 and above (% of total)",0.06612044
"270",113,"GDP per capita (current US$)",0.065227418
"271",113,"CPIA macroeconomic management rating (1=low to 6=high)",-0.129496557
"272",113,"Present value of external debt (% of GNI)",-0.100846252
"273",113,"Health expenditure, private (% of GDP)",-0.06934494
"274",113,"Getting.Electricity.Time",-0.064017776
"275",113,"Mobile cellular subscriptions (per 100 people)",-0.057181071
"276",113,"Paying.Taxes.Payments",-0.055673694
"277",113,"Average precipitation in depth (mm per year)",-0.053198871
"278",113,"Intentional homicides (per 100,000 people)",-0.052230547
"279",113,"Paying.Taxes.Labor.tax.and.contributions",-0.04342439
"280",113,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)",-0.04021259
"281",114,"Road sector energy consumption (% of total energy consumption)",0.144430621
"282",114,"Alternative and nuclear energy (% of total energy use)",0.135449028
"283",114,"Energy use (kg of oil equivalent per capita)",0.114760872
"284",114,"International tourism, receipts (% of total exports)",0.099043646
"285",114,"Employment to population ratio, ages 15-24, total (%)",0.097866516
"286",114,"Renewable internal freshwater resources per capita (cubic meters)",0.094533965
"287",114,"Life expectancy at birth, total (years)",0.090705199
"288",114,"GDP per unit of energy use (PPP $ per kg of oil equivalent)",0.084051897
"289",114,"Secure Internet servers (per 1 million people)",0.061797631
"290",114,"Prevalence of undernourishment (% of population)",0.042283999
"291",114,"Bank nonperforming loans to total gross loans (%)",-0.144646901
"292",114,"Dealing.with.Construction.Permits.Time",-0.084376576
"293",114,"Mobile cellular subscriptions (per 100 people)",-0.069989573
"294",114,"Health expenditure, private (% of GDP)",-0.067151571
"295",114,"Industry, value added (% of GDP)",-0.062924012
"296",114,"Getting.Electricity.Procedures",-0.062760981
"297",114,"Depositors with commercial banks (per 1,000 adults)",-0.062042896
"298",114,"Net barter terms of trade index (2000 = 100)",-0.05844001
"299",114,"Taxes on income, profits and capital gains (% of revenue)",-0.05727205
"300",114,"Protecting.Investors.Rank",-0.050817896
"301",115,"Health expenditure, private (% of GDP)",0.101370769
"302",115,"Unemployment, total (% of total labor force)",0.098980151
"303",115,"Protecting.Investors.Extent.of.director.liability.index",0.095706948
"304",115,"Permanent cropland (% of land area)",0.075815024
"305",115,"Foreign direct investment, net inflows (% of GDP)",0.053104695
"306",115,"Paying.Taxes.Payments",0.05252562
"307",115,"International tourism, receipts (% of total exports)",0.049364417
"308",115,"CPIA structural policies cluster average (1=low to 6=high)",0.048657766
"309",115,"CPIA social protection rating (1=low to 6=high)",0.041729428
"310",115,"Dealing.with.Construction.Permits.Time",0.040636683
"311",115,"Employment to population ratio, ages 15-24, total (%)",-0.143160152
"312",115,"GDP per capita (current US$)",-0.135680895
"313",115,"Health expenditure per capita, PPP (constant 2005 international $)",-0.123926022
"314",115,"Telephone lines (per 100 people)",-0.100367254
"315",115,"Fixed broadband Internet subscribers (per 100 people)",-0.093298113
"316",115,"Automated teller machines (ATMs) (per 100,000 adults)",-0.091079092
"317",115,"Secure Internet servers (per 1 million people)",-0.087937152
"318",115,"Labor force participation rate, total (% of total population ages 15-24)",-0.081119966
"319",115,"PM10, country level (micrograms per cubic meter)",-0.075131261
"320",115,"Paying.Taxes.Time",-0.074609965
