"","Indicator.Name","Indicator.Description","priority100","priority101","priority102","priority103","priority104","priority105","priority106","priority107","priority108","priority109","priority110","priority111","priority112","priority113","priority114","priority115"
"53","Getting.Electricity.Cost","Getting.Electricity.Cost",0.006705236,-0.01449009,0,0,0,0,-0.025718487,0.012903376,0,0.014545685,0,0,0.092441326,0,0,0
"54","Registering.Property.Cost","Registering.Property.Cost",0,0,0.018012245,0,0,0,0,0.095346363,0.237414324,0,-0.059113819,-0.067949044,0,0,0,0
"55","Getting.Credit.Public.registry.coverage","Getting.Credit.Public.registry.coverage",0,0,-0.030067433,0,0,0,0.094764207,0,-0.071855961,-0.046530066,0.047337785,0.025814507,-0.017455521,0,-0.019207585,0
"56","Protecting.Investors.Extent.of.director.liability.index","Protecting.Investors.Extent.of.director.liability.index",0,0,0,-0.026168119,0,0,0,-0.021207542,0,0,-0.076740014,-0.006655821,0,0.008845478,0.030547439,0.095706948
"57","Protecting.Investors.Ease.of.shareholder.suits.index","Protecting.Investors.Ease.of.shareholder.suits.index",0,-0.064783554,0,0.054460449,0,0,0,-0.030358974,-0.005080001,0.104122079,0.032667477,0.113822389,-0.149246972,0,0,0
"58","Paying.Taxes.Rank","Paying.Taxes.Rank",0,0,0,0,0,0,0,0,0.027627813,0.113876806,0,0.008701879,0,0,-0.003534979,-0.006441043
"59","Trading.Across.Borders.Documents.to.export","Trading.Across.Borders.Documents.to.export",-0.0058449,0.024472453,0.025921842,0,0,0,0,0,0.080089658,-0.16148159,0,0,0.028202958,0,-0.005911362,0
"60","Trading.Across.Borders.Time.to.export","Trading.Across.Borders.Time.to.export",0,0,0,0,0,0,0,0,0.08529019,-0.055025834,0,0,0,0,0,0
"61","Trading.Across.Borders.Documents.to.import","Trading.Across.Borders.Documents.to.import",-0.069746229,0.10131002,0.098267878,0,0,0,0,0,0.014520716,-0.005130618,-0.035566992,0,0,0,-0.01774618,0
"62","Enforcing.Contracts.Procedures","Enforcing.Contracts.Procedures",0,0,0.12561925,0,0,0,0,0.000189359,0.006163783,-0.056230666,0,-0.00062659,0,0,0,0
"63","Resolving.Insolvency.Rank","Resolving.Insolvency.Rank",0,0,0,0,0,0.073578799,0,-0.025019038,0,0.024831052,0,0,-0.062336339,0,0,0
