Indicator.Name,X2005..YR2005,X2006..YR2006,X2007..YR2007,X2008..YR2008,X2009..YR2009,X2010..YR2010,X2011..YR2011,X2012..YR2012,X2013..YR2013,Comment,Year
"Hospital beds (per 1,000 people)",114,115,87,79,114,99,63,0,0,"Use 2011, impute from 2009",X2011..YR2011
"New business density (new registrations per 1,000 people ages 15-64)",105,111,111,115,115,91,90,0,0,"Use 2011, impute from 2009",X2011..YR2011
Other taxes (% of revenue),104,108,110,109,104,102,94,9,0,"Use 2011, impute from 2009",X2011..YR2011
"Nurses and midwives (per 1,000 people)",33,60,48,61,31,141,19,1,0,"Use 2011, impute from 2010",X2011..YR2011
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),119,114,108,93,102,105,54,0,0,"Use 2011, impute from 2010",X2011..YR2011
Disaster risk reduction progress score (1-5 scale; 5=best),0,0,0,0,0,0,83,0,0,Moved from red,X2011..YR2011
Social contributions (% of revenue),77,76,80,79,76,73,70,4,0,Moved from red,X2011..YR2011
Prevalence of undernourishment (% of population),172,127,127,174,127,127,174,0,0,,X2011..YR2011
"Bird species, threatened",0,0,0,0,0,0,0,1,211,Use 2013 data,X2013..YR2013
"Fish species, threatened",0,0,0,0,0,0,0,1,211,Use 2013 data,X2013..YR2013
"Mammal species, threatened",0,0,0,0,0,0,0,1,211,Use 2013 data,X2013..YR2013
"Plant species (higher), threatened",0,0,0,0,0,0,0,1,211,Use 2013 data,X2013..YR2013
CPIA building human resources rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA debt policy rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA fiscal policy rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA gender equality rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA macroeconomic management rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),74,76,74,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA property rights and rule-based governance rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA public sector management and institutions cluster average (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.,
CPIA quality of budgetary and financial management rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.
CPIA quality of public administration rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.
CPIA social protection rating (1=low to 6=high),73,74,74,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.
CPIA structural policies cluster average (1=low to 6=high),76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",76,78,75,75,77,77,78,80,0,Capture data by performing correlation with GDP and region.
