Economy,Ease of Doing Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Investors,Paying Taxes,Trading Across Borders,Enforcing Contracts,Resolving Insolvency
Israel,35,35,140,103,151,13,6,93,10,93,35
Belgium,36,49,100,90,180,73,16,76,28,16,6
Armenia,37,6,79,109,5,42,22,103,117,112,76
France,38,41,92,42,149,55,80,52,36,7,46
Cyprus,39,44,86,108,103,55,34,33,27,110,24
Puerto Rico (U.S.),40,18,172,38,131,13,16,110,87,101,21
South Africa,41,64,26,150,99,28,10,24,106,80,82
Peru,42,63,117,79,22,28,16,73,55,105,110
Colombia,43,79,24,101,53,73,6,104,94,155,25
Montenegro,44,69,106,69,98,3,34,86,53,136,45
Poland,45,116,88,137,54,3,52,113,49,55,37
Bahrain,46,99,4,52,32,130,115,7,81,122,27
Oman,47,77,69,58,21,86,98,9,47,107,72
Qatar,48,112,23,27,43,130,128,2,67,93,36
Slovak Republic,49,108,53,65,11,42,115,102,108,65,38
Kazakhstan,50,30,145,87,18,86,22,18,186,27,54
Tunisia,51,70,122,55,72,109,52,60,31,78,39
Spain,52,142,98,62,60,55,98,67,32,59,22
Mexico,53,48,40,133,150,42,68,118,59,71,26
Hungary,54,59,47,112,45,55,128,124,70,15,70
Panama,55,25,62,16,74,55,80,175,11,127,112
Botswana,56,96,69,107,41,73,52,47,145,86,34
Tonga,57,42,35,30,146,55,115,51,63,48,118
Bulgaria,58,65,118,135,62,28,52,81,79,79,92
Brunei Darussalam,59,137,46,29,116,55,115,20,39,161,48
Luxembourg,60,103,37,66,124,170,128,15,41,1,53
Samoa,61,33,73,37,39,130,34,86,58,77,139
Fiji,62,141,74,81,63,55,52,88,111,63,50
Belarus,63,15,30,168,3,109,98,133,149,13,74
St. Lucia,64,57,11,31,129,130,34,45,104,170,56
Italy,65,90,112,89,34,109,52,138,56,103,33
Trinidad and Tobago,66,67,77,10,178,28,22,97,73,174,114
Ghana,67,128,159,85,49,28,34,68,109,43,116
Kyrgyz Republic,68,12,66,180,9,13,22,127,182,70,132
Turkey,69,93,148,49,50,86,34,71,86,38,130
Azerbaijan,70,10,180,181,13,55,22,77,168,28,86
Antigua and Barbuda,71,92,21,20,128,130,34,151,93,65,80
Greece,72,36,66,61,161,86,80,53,52,98,87
Romania,73,60,136,174,70,13,52,134,76,53,99
Vanuatu,74,126,50,129,110,55,80,30,119,72,57
Czech Republic,75,146,86,146,37,55,98,122,68,75,29
Mongolia,76,25,107,162,27,55,22,74,181,30,133
Dominica,77,51,22,64,119,86,34,75,88,172,105
Moldova,78,81,174,165,19,13,80,95,150,23,91
Guatemala,79,145,61,34,23,13,157,85,116,97,109
Seychelles,80,118,68,147,69,170,68,19,29,82,65
San Marino,81,155,120,10,158,186,52,40,75,34,49
St. Vincent and the Grenadines,82,68,6,25,153,130,34,72,38,90,189
Zambia,83,45,57,152,102,13,80,68,163,120,73
"Bahamas, The",84,83,75,45,182,86,115,45,72,125,32
Sri Lanka,85,54,108,91,145,73,52,171,51,135,59
Kosovo,86,100,136,121,58,28,98,43,121,138,83
Morocco,87,39,83,97,156,109,115,78,37,83,69
Uruguay,88,43,154,23,167,73,98,146,90,105,51
Croatia,89,80,152,60,106,42,157,34,99,49,98
Albania,90,76,189,158,119,13,14,146,85,124,62
Barbados,91,77,56,83,142,86,170,112,30,110,28
Russian Federation,92,88,178,117,17,109,115,56,157,10,55
Serbia,93,45,182,85,44,42,80,161,98,116,103
Jamaica,94,23,52,132,114,109,80,168,118,131,31
Maldives,95,71,18,131,161,109,80,115,138,90,40
China,96,158,185,119,48,73,98,120,74,19,78
Solomon Islands,97,82,81,130,172,86,52,30,78,109,127
Namibia,98,132,31,72,178,55,80,114,141,69,85
Vietnam,99,109,29,156,51,42,157,149,65,46,149
Palau,100,129,45,78,20,86,178,84,96,141,96
St. Kitts and Nevis,101,73,15,19,169,130,34,145,66,112,189
Costa Rica,102,102,82,47,46,86,170,136,44,130,124
Malta,103,161,163,115,77,180,68,27,34,122,64
Kuwait,104,152,133,59,90,130,80,11,112,119,94
Nepal,105,97,105,98,24,55,80,126,177,139,125
Belize,106,167,16,57,143,130,128,48,101,173,30
Grenada,107,72,9,71,157,130,34,90,61,166,189
Philippines,108,170,99,33,121,86,128,131,42,114,100
Paraguay,109,113,71,50,71,86,68,125,154,102,152
Pakistan,110,105,109,175,125,73,34,166,91,158,71
Lebanon,111,120,179,51,112,109,98,39,97,126,93
Ukraine,112,47,41,172,97,13,128,164,148,45,162
Papua New Guinea,113,101,165,24,87,86,68,116,134,168,128
Marshall Islands,114,56,32,77,189,86,157,96,62,61,138
Guyana,115,94,33,155,111,170,80,110,71,73,141
Brazil,116,123,130,14,107,109,80,159,124,121,135
Dominican Republic,117,144,121,127,115,86,98,106,33,81,159
El Salvador,118,148,144,154,59,55,170,165,64,68,90
Jordan,119,117,111,41,104,170,170,35,57,133,113
Indonesia,120,175,88,121,101,86,52,137,54,147,144
Cabo Verde,121,66,135,151,64,109,138,80,95,35,189
Kiribati,122,156,133,159,73,165,52,10,77,74,189
Swaziland,123,172,51,163,130,55,128,59,127,176,68
Nicaragua,124,123,152,114,135,109,138,163,82,47,84
Ethiopia,125,166,55,91,113,109,157,109,166,44,75
Argentina,126,164,181,80,138,73,98,153,129,57,97
Honduras,127,162,83,125,94,13,170,144,84,182,136
"Egypt, Arab Rep.",128,50,149,105,105,86,147,148,83,156,146
Kenya,129,134,47,166,163,13,98,166,156,151,123
Bangladesh,130,74,93,189,177,86,22,100,130,185,119
Bosnia and Herzegovina,131,174,175,164,96,73,115,135,107,115,77
Uganda,132,151,143,178,126,42,115,98,164,117,79
"Yemen, Rep.",133,114,101,116,61,170,138,129,128,85,126
India,134,179,182,111,92,28,34,158,132,186,121
Ecuador,135,176,64,138,91,86,138,91,122,99,143
Lesotho,136,89,145,136,88,159,98,101,144,144,104
Cambodia,137,184,161,134,118,42,80,65,114,162,163
West Bank and Gaza,138,143,131,87,122,165,80,62,123,88,189
Mozambique,139,95,77,171,152,130,52,129,131,145,148
Burundi,140,27,126,161,52,170,34,143,175,177,164
Bhutan,141,86,132,91,86,109,147,104,172,37,189
Sierra Leone,142,75,176,179,170,86,22,128,140,149,158
Tajikistan,143,87,184,186,78,159,22,178,188,39,81
Liberia,144,31,129,142,181,86,147,42,142,165,161
Tanzania,145,119,177,102,146,130,98,141,139,42,134
Uzbekistan,146,21,159,173,136,130,138,168,189,40,63
Nigeria,147,122,151,185,185,13,68,170,158,136,107
Madagascar,148,29,157,187,155,180,68,61,115,160,157
Sudan,149,131,167,113,41,170,157,108,155,154,89
"Gambia, The",150,130,104,120,117,165,178,184,99,60,108
Iraq,151,169,20,39,108,180,128,63,179,142,189
"Iran, Islamic Rep.",152,107,169,169,168,86,147,139,153,51,129
Algeria,153,164,147,148,176,130,98,174,133,129,60
Burkina Faso,154,125,60,141,123,130,147,160,174,108,117
Mali,155,136,113,118,99,130,147,157,160,140,131
"Micronesia, Fed. Sts.",156,106,54,106,189,130,178,94,103,152,168
Togo,157,168,114,96,159,130,147,172,110,153,111
Comoros,158,163,44,109,79,159,138,123,146,159,189
Lao PDR,159,85,96,140,76,159,187,119,161,104,189
Djibouti,160,127,157,144,133,180,182,66,60,163,147
Suriname,161,181,49,40,173,170,186,50,105,184,160
Bolivia,162,180,136,128,144,130,138,185,126,131,67
Gabon,163,153,71,138,166,109,157,152,135,157,153
Afghanistan,164,24,167,104,175,130,189,98,184,168,115
Syrian Arab Republic,165,135,189,82,82,180,115,120,147,179,120
Equatorial Guinea,166,185,125,99,109,109,147,177,137,50,189
Côte d'Ivoire,167,115,162,153,127,130,157,173,165,88,95
Cameroon,168,132,127,62,159,109,128,180,159,175,151
São Tomé and Príncipe,169,98,103,73,165,186,157,156,102,183,166
Zimbabwe,170,150,170,157,93,109,128,142,167,118,156
Malawi,171,149,173,183,85,130,80,81,176,145,150
Timor-Leste,172,154,128,44,189,165,115,55,92,189,189
Mauritania,173,173,123,124,67,170,147,181,152,75,189
Benin,174,139,95,160,137,130,157,179,119,181,140
Guinea,175,146,155,91,140,159,178,186,136,134,145
Niger,176,159,164,123,80,130,157,162,178,143,154
Haiti,177,187,141,67,138,165,170,132,151,96,189
Senegal,178,110,165,182,174,130,170,182,80,167,122
Angola,179,178,65,170,132,130,80,155,169,187,189
Guinea-Bissau,180,159,119,188,170,130,138,153,125,148,189
"Venezuela, RB",181,157,110,167,95,130,182,187,173,92,165
Myanmar,182,189,150,126,154,170,182,107,113,188,155
"Congo, Dem. Rep.",183,185,90,142,133,159,147,176,171,177,167
Eritrea,184,188,189,95,184,186,115,150,170,67,189
"Congo, Rep.",185,182,142,175,164,109,157,183,180,164,142
South Sudan,186,140,171,184,183,180,182,92,187,87,189
Libya,187,171,189,68,189,186,187,116,143,150,189
Central African Republic,188,177,156,177,141,109,138,188,185,180,189
Chad,189,183,139,149,146,130,157,189,183,171,189
